id_produto,nome_produto,categoria,marca
10,Notebook X,Eletrodomésticos,HP
20,Monitor Ultra,Eletrodomésticos,Samsung
30,Mesa Digitalizadora Plus,Móveis,LG
40,Notebook Gamer,Informática,Sony
50,Headset Ultra,Informática,Samsung
60,Notebook V2,Móveis,HP
70,Gabinete Ultra,Informática,Lenovo
80,Teclado Ultra,Games,Logitech
90,Mouse Basic,Eletrônicos,Asus
100,Mesa Digitalizadora X,Informática,Lenovo
110,Webcam Pro,Acessórios,Sony
120,Mesa Digitalizadora Plus,Games,HP
130,Gabinete Basic,Informática,Apple
140,Teclado V2,informática,Logitech
150,Cadeira Gamer X,eletrônicos,Samsung
160,Smartphone Plus,Eletrônicos,Pichau
170,Cadeira Gamer Basic,Eletrônicos,Logitech
180,Cadeira Gamer Ultra,Eletrodomésticos,Apple
190,Webcam Gamer,Eletrodomésticos,Dell
200,Gabinete Plus,Informática,Asus
210,Webcam X,Informática,Logitech
220,Teclado Plus,Informática,Logitech
230,Cadeira Gamer Ultra,Eletrônicos,Sony
240,Mouse Pro,Eletronicos,Sony
250,Cadeira Gamer V2,Games,Apple
260,Monitor Ultra,Informática,Apple
270,Notebook Ultra,Eletrodomésticos,LG
280,Teclado X,Games,Samsung
290,Webcam V2,Eletrodomésticos,Samsung
300,Gabinete Basic,Informática,Apple
310,Monitor Pro,Eletrodomésticos,Apple
320,Webcam X,Eletrônicos,LG
330,Webcam X,Eletrônicos,Lenovo
340,Smartphone Basic,Acessórios,Logitech
350,Teclado Basic,Acessórios,Lenovo
360,Monitor Pro,Games,Logitech
370,Headset Gamer,Eletrônicos,LG
380,Mouse Basic,Móveis,Asus
390,Gabinete Pro,Informática,Asus
400,Headset Plus,Móveis,Apple
410,Gabinete Ultra,games,
420,Smartphone V2,Móveis,Dell
430,Teclado Basic,Móveis,HP
440,Monitor Gamer,Móveis,HP
450,Webcam Pro,Eletrodomésticos,Pichau
460,Mouse X,Informática,HP
470,Teclado Basic,Games,Asus
480,Teclado X,Eletrônicos,Lenovo
490,Mesa Digitalizadora Gamer,Acessórios,LG
500,Mouse Gamer,Móveis,Lenovo
510,Gabinete Ultra,Móveis,Pichau
520,Mouse Plus,Eletrônicos,Samsung
530,Gabinete Gamer,Informática,Asus
540,Smartphone Plus,Acessórios,Samsung
550,Teclado Ultra,Moveis,Samsung
560,Smartphone Pro,Acessórios,Samsung
570,Notebook Basic,Eletrodomésticos,LG
580,Mesa Digitalizadora Ultra,Eletrodomésticos,HP
590,Smartphone Basic,Eletrônicos,LG
600,Teclado Gamer,Eletrodomésticos,Apple
610,Monitor X,Informática,Asus
620,Mesa Digitalizadora V2,Games,Sony
630,Webcam Plus,Informática,HP
640,Webcam Plus,Eletrodomésticos,Apple
650,Teclado Basic,Móveis,Pichau
660,Notebook Gamer,Moveis,Sony
670,Teclado V2,Informática,Pichau
680,Cadeira Gamer X,Eletrodomésticos,Dell
690,Gabinete Gamer,Informática,Pichau
